species,sample,cellline,sensitivity,group,treatment,pct
PI(18:1_19:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.3620775218430559
PI(18:0_20:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.07493488216143875
PI(17:1_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.0630063029106546
PI(18:1_21:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.3878582915434805
PI(O-13:1_15:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,2.2912688534763506
PI(P-11:0_21:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.08067173041727897
PI(14:0_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.037467152653759564
PI(14:0_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.010514436198145209
PI(12:0_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.0011110844667493148
PI(O-16:0_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.013459830842038138
PI(O-16:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.013060760590668697
PI(O-18:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.011905017242028016
PI(18:0_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.03586763313576904
PI(O-18:0_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.06852273497692954
PI(20:4_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.0015580427829354005
PI(P-11:0_22:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.015996304480776106
PI(19:1_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.2404617405794409
PI(16:1_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.7588183680790374
PI(15:0_16:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.0023029291536249756
PI(18:1_14:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.06223137377628914
PI(16:0_16:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.06385873087776847
PI(16:0_17:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.23597952430824973
PI(17:0_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,4.135086343021883
PI(4:0_10:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.23783021461918327
PI(P-9:0_22:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.016126772857675865
